1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
1,1,1,30,6,30,1,1,1,81,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,4,4,4,2,3,10,2,4,3,4,33,3,3,2,2,2,13,2,2,1,15,4,3,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,4,4,4,1,1,1,58,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,367,40,26,3,12,10,5,424,425,8,33,441,146,110,3,16,13,1,1,1,15,124,114,1,22,3,2,47,3,2,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,5,1,5,1,1,1,70,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,368,128,111,3,12,10,50,425,426,5,33,442,147,111,3,9,13,1,1,1,15,9,66,1,22,3,2,48,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,6,2,6,1,1,1,13,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,369,109,92,3,6,10,13,426,427,5,33,443,51,24,3,10,13,1,1,1,15,114,118,1,22,3,2,4,3,2,54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,28,7,28,1,1,1,16,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,213,2,2,1,2,10,13,427,428,3,33,116,14,1,1,1,13,1,1,1,15,114,115,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,31,5,31,1,1,1,48,26,7,7,7,7,7,7,7,7,7,12,12,12,12,12,10,10,10,10,30,219,12,2,1,2,10,7,415,416,8,33,430,78,1,1,3,13,1,1,1,15,131,113,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,8,3,8,1,1,1,56,27,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,22,274,13,2,1,2,6,14,428,429,8,34,444,78,1,1,3,12,1,1,1,5,39,67,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,9,5,9,1,1,1,9,28,16,16,16,16,16,12,12,12,12,1,1,1,1,1,1,1,1,1,31,370,17,2,1,1,3,18,341,430,9,35,190,11,1,1,3,10,1,1,1,16,118,108,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,10,6,10,1,1,1,116,28,16,16,16,16,16,12,12,12,12,1,1,1,1,1,1,1,1,1,31,371,129,2,1,14,3,18,129,408,14,35,197,109,1,1,3,10,1,1,1,16,115,108,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,11,4,11,1,1,1,82,28,16,16,16,16,16,12,12,12,12,1,1,1,1,1,1,1,1,1,31,356,13,2,1,2,3,8,409,179,15,35,445,15,1,1,3,10,1,1,1,16,109,117,1,22,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
